name,jpName,attr,atk,sp,se,notion,skillLv,item1,item2,item3,item4,item5,item6,buy,sell
斬舞,斬々舞,,265,,偶爾會給予對方致命一擊,東洋から伝わった武器。切れ味が鋭く、使い手も注意が必要。たまに相手を一撃で倒すことができる。,68,雙手劍,銀,金,白金,狼牙,,50760,10890
大蛇,オロチ,,272,,,刀身がいくつかのパーツになかれていてまるで巻きつくかの様に切ることができる。少し遠い敵にも屆く長さを持つ。,73,雙手劍,植物根,維京護肩,狼牙,狼牙,狼牙,69000,10090
斷罪者,パニッシャー,,289,,,広い剣幅を持つ両手剣。剣幅は叩く用途にも使え、その形狀からついた名前が「超ビンタソード」気絶させやすく、のけぞり時間が長い。,76,雙手劍,金,白金,古代魚之骨,浮游靈的頭巾,,78900,14730
名刀之刃,名刀達刃,,320,,,斬れぬものはないと言われ、その刃は悪しき心を斷つ。「斬鉄」の異名を持つ名刀。クリティカルが出やすい。,82,雙手劍,白金,白金,浮游靈的頭巾,小結晶,妖精之粉,99850,17080
月影,月影,,353,魔攻+120,能夠給予對方致命一擊,東洋から伝わった武器。夜になると、剣が影のように見えづらくなることから、その名がついた。一撃で相手を倒すことがある。,84,雙手劍,銀,銀,銀,銀,銀,165600,22000
巴爾蒙之劍,バルムンク,,372,,,流線型の刃を持つ両手剣。空気の抵抗までもが計算され、大きくても振りやすいように設計されている。,89,雙手劍,銀,金,白金,白金,龍骨,282500,23800
蒼眼太刀,蒼眼ノ太刀,,393,魔攻+125,,使い手の目を青く光らせ、相手の剣筋を見極めることができると言われている。非常にクリティカルが出やすい。,91,雙手劍,白金,狼牙,狼牙,骷髏,上質的毛皮,492920,24000
勇者心,ブレイブハート,光,412,魔攻+120,説明にはないが、刀身が長い,刀身が光り輝く幻の両手剣。持ち主の勇気が、剣に宿り強さとなる。,92,雙手劍,白金,鑽石,小結晶,妖精之粉,妖精之粉,500580,28000
天叢云劍,天ノ村雲ノ剣,風,444,魔攻+150,容易使出會心一擊，給予對方致命一擊,風を起こし、雲を裂くといわれている切れ味のするどい伝説の両手剣。クリティカルがでやすく、かなりの確率で相手を一撃で倒す。,94,雙手劍,金,白金,白金,絲綢,魔人之角,822180,31000
元素之刃,フォースエレメント,光,427,魔攻+235，魔防+10,,光を帯びる両手剣。屬性の力があふれ出してきているため扱いは非常にむずかしい。,95,雙手劍,白金,白金,光之結晶,光之結晶,光之結晶,835000,30000
石中劍,カリバーン,地,468,魔攻+128,容易使對方氣絕,言い伝えの中に登場する両手剣。実在するとは思われていなかった。相手を気絶させやすい。,98,雙手劍,金,白金,鑽石,龍牙,水龍的羽鰭,925240,38000
